Month,Pearson,Kendall,Spearman
1,0.5730479797960231,0.34892748751352054,0.4563308224975496
2,0.5571861115333324,0.39072542984751446,0.5275447240145364
3,0.6228409990604831,0.4974456765373112,0.6671581619413617
4,0.6692661704659769,0.46843341481163936,0.6314327541699419
5,0.641125708863182,0.4327563655129927,0.5902924493759851
6,0.5766713258856935,0.3948146534115818,0.5479763724606495
7,0.5972476051319373,0.3918904533952279,0.5449462297770032
8,0.6206130755514779,0.4238086347211738,0.5867435351118305
9,0.6060815989331135,0.41602991921124866,0.5760952932096818
10,0.6478928111501359,0.4421166052443577,0.6084315403767756
11,0.6884584093850123,0.44099008563037984,0.6053989565384978
12,0.700465188835961,0.4288259804616766,0.5766332620474521
